epoch	iou_threshold	score_threshold	tp	fp	fn	precision	recall
200	0.5	0.5	2060	339	240	0.8586911213005419	0.8956521739130435
201	0.5	0.5	2143	392	157	0.8453648915187377	0.9317391304347826
202	0.5	0.5	2111	370	189	0.8508665860540104	0.9178260869565218
203	0.5	0.5	2094	354	206	0.8553921568627451	0.9104347826086957
204	0.5	0.5	2130	341	170	0.8619991906110887	0.9260869565217391
205	0.5	0.5	2163	378	137	0.8512396694214877	0.9404347826086956
206	0.5	0.5	2135	426	165	0.8336587270597423	0.9282608695652174
207	0.5	0.5	2122	368	178	0.8522088353413655	0.922608695652174
208	0.5	0.5	2099	338	201	0.861304883052934	0.912608695652174
209	0.5	0.5	2106	369	194	0.850909090909091	0.9156521739130434
210	0.5	0.5	2089	381	211	0.845748987854251	0.9082608695652173
211	0.5	0.5	2098	350	202	0.8570261437908496	0.9121739130434783
212	0.5	0.5	2151	403	149	0.8422083007047768	0.9352173913043478
213	0.5	0.5	2160	422	140	0.836560805577072	0.9391304347826087
214	0.5	0.5	2121	358	179	0.8555869302137958	0.9221739130434783
215	0.5	0.5	2084	382	216	0.8450932684509327	0.9060869565217391
216	0.5	0.5	2136	430	164	0.8324240062353858	0.928695652173913
217	0.5	0.5	2115	403	185	0.8399523431294679	0.9195652173913044
218	0.5	0.5	2099	329	201	0.8644975288303131	0.912608695652174
219	0.5	0.5	2084	365	216	0.8509595753368722	0.9060869565217391
220	0.5	0.5	2148	443	152	0.8290235430335777	0.9339130434782609
221	0.5	0.5	2130	373	170	0.8509788254095086	0.9260869565217391
222	0.5	0.5	2131	381	169	0.848328025477707	0.9265217391304348
223	0.5	0.5	2079	325	221	0.8648086522462562	0.9039130434782608
224	0.5	0.5	2114	363	186	0.8534517561566412	0.9191304347826087
225	0.5	0.5	2127	372	173	0.851140456182473	0.9247826086956522
226	0.5	0.5	2112	365	188	0.8526443278159064	0.9182608695652174
227	0.5	0.5	2134	387	166	0.8464894882982943	0.9278260869565217
228	0.5	0.5	2001	334	299	0.8569593147751606	0.87
229	0.5	0.5	2126	328	174	0.8663406682966586	0.9243478260869565
230	0.5	0.5	2105	358	195	0.85464880227365	0.9152173913043479
231	0.5	0.5	2132	381	168	0.8483883804218066	0.9269565217391305
232	0.5	0.5	2098	341	202	0.8601886018860189	0.9121739130434783
233	0.5	0.5	2135	408	165	0.8395595753047581	0.9282608695652174
234	0.5	0.5	2132	385	168	0.8470401271354787	0.9269565217391305
235	0.5	0.5	2126	388	174	0.8456642800318218	0.9243478260869565
236	0.5	0.5	2163	424	137	0.8361035948975647	0.9404347826086956
237	0.5	0.5	2111	373	189	0.8498389694041868	0.9178260869565218
238	0.5	0.5	2123	356	177	0.8563937071399758	0.9230434782608695
239	0.5	0.5	2098	380	202	0.8466505246166263	0.9121739130434783
240	0.5	0.5	2111	353	189	0.856737012987013	0.9178260869565218
241	0.5	0.5	2144	434	156	0.8316524437548487	0.9321739130434783
242	0.5	0.5	2129	363	171	0.8543338683788122	0.9256521739130434
243	0.5	0.5	2125	394	175	0.8435887256847956	0.9239130434782609
244	0.5	0.5	2106	394	194	0.8424	0.9156521739130434
245	0.5	0.5	2107	368	193	0.8513131313131314	0.9160869565217391
246	0.5	0.5	2096	355	204	0.8551611587107303	0.9113043478260869
247	0.5	0.5	2109	386	191	0.8452905811623247	0.9169565217391304
248	0.5	0.5	2134	441	166	0.8287378640776699	0.9278260869565217
249	0.5	0.5	2112	342	188	0.8606356968215159	0.9182608695652174
250	0.5	0.5	2132	370	168	0.8521183053557154	0.9269565217391305
251	0.5	0.5	2149	421	151	0.8361867704280156	0.9343478260869565
252	0.5	0.5	2143	388	157	0.8467009087317265	0.9317391304347826
253	0.5	0.5	2136	371	164	0.8520143597925808	0.928695652173913
254	0.5	0.5	2132	387	168	0.8463676061929337	0.9269565217391305
255	0.5	0.5	2137	361	163	0.855484387510008	0.9291304347826087
256	0.5	0.5	2129	365	171	0.8536487570168404	0.9256521739130434
257	0.5	0.5	2130	354	170	0.857487922705314	0.9260869565217391
258	0.5	0.5	2132	357	168	0.8565689031739655	0.9269565217391305
259	0.5	0.5	2124	343	176	0.8609647344953385	0.9234782608695652
260	0.5	0.5	2107	316	193	0.8695831613702022	0.9160869565217391
261	0.5	0.5	2124	382	176	0.8475658419792498	0.9234782608695652
262	0.5	0.5	2126	365	174	0.853472501003613	0.9243478260869565
263	0.5	0.5	2132	375	168	0.8504188272836058	0.9269565217391305
264	0.5	0.5	2110	335	190	0.8629856850715747	0.9173913043478261
265	0.5	0.5	2126	364	174	0.8538152610441767	0.9243478260869565
266	0.5	0.5	2131	349	169	0.8592741935483871	0.9265217391304348
267	0.5	0.5	2137	353	163	0.8582329317269076	0.9291304347826087
268	0.5	0.5	2131	395	169	0.8436262866191607	0.9265217391304348
269	0.5	0.5	2118	379	182	0.8482178614337205	0.9208695652173913
270	0.5	0.5	2111	345	189	0.8595276872964169	0.9178260869565218
271	0.5	0.5	2142	411	158	0.8390129259694477	0.931304347826087
272	0.5	0.5	2125	383	175	0.8472886762360446	0.9239130434782609
273	0.5	0.5	2135	375	165	0.850597609561753	0.9282608695652174
274	0.5	0.5	2120	363	180	0.8538058799838905	0.9217391304347826
275	0.5	0.5	2127	364	173	0.8538739462063428	0.9247826086956522
276	0.5	0.5	2121	352	179	0.857662757784068	0.9221739130434783
277	0.5	0.5	2127	369	173	0.8521634615384616	0.9247826086956522
278	0.5	0.5	2121	365	179	0.8531777956556718	0.9221739130434783
279	0.5	0.5	2122	366	178	0.8528938906752411	0.922608695652174
280	0.5	0.5	2117	354	183	0.8567381626871712	0.9204347826086956
281	0.5	0.5	2119	380	181	0.8479391756702681	0.921304347826087
282	0.5	0.5	2121	381	179	0.8477218225419664	0.9221739130434783
283	0.5	0.5	2127	364	173	0.8538739462063428	0.9247826086956522
284	0.5	0.5	2122	339	178	0.8622511174319383	0.922608695652174
285	0.5	0.5	2128	381	172	0.8481466719808689	0.9252173913043479
286	0.5	0.5	2133	365	167	0.8538831064851882	0.9273913043478261
287	0.5	0.5	2129	393	171	0.8441712926249009	0.9256521739130434
288	0.5	0.5	2130	355	170	0.8571428571428571	0.9260869565217391
289	0.5	0.5	2127	358	173	0.8559356136820926	0.9247826086956522
290	0.5	0.5	2128	382	172	0.847808764940239	0.9252173913043479
291	0.5	0.5	2134	388	166	0.8461538461538461	0.9278260869565217
292	0.5	0.5	2124	365	176	0.853354760948172	0.9234782608695652
293	0.5	0.5	2132	383	168	0.847713717693837	0.9269565217391305
294	0.5	0.5	2123	330	177	0.8654708520179372	0.9230434782608695
295	0.5	0.5	2135	398	165	0.8428740623766285	0.9282608695652174
296	0.5	0.5	2126	393	174	0.8439857086145296	0.9243478260869565
297	0.5	0.5	2122	381	178	0.8477826608070316	0.922608695652174
298	0.5	0.5	2125	354	175	0.8572004840661557	0.9239130434782609
299	0.5	0.5	2118	373	182	0.8502609393817744	0.9208695652173913
300	0.5	0.5	2119	388	181	0.8452333466294376	0.921304347826087
