epoch	threshold	tp	fp	fn	precision	recall
189	0.5	4001720	425941	327597	0.903799997334936	0.9243305583767601
190	0.5	4001212	427963	328105	0.9033763624151224	0.9242132188518419
191	0.5	4085854	542204	243463	0.8828441648743383	0.9437641087497173
192	0.5	4059075	509280	270242	0.8885200471504513	0.9375786065099876
193	0.5	3955057	372713	374260	0.9138787412454913	0.9135521838664159
194	0.5	4060069	515073	269248	0.8874192320150938	0.9378082039268549
195	0.5	4060730	499275	268587	0.8905099884758898	0.9379608838992386
196	0.5	4044884	521143	284433	0.8858651076745714	0.9343007222617332
197	0.5	4025543	510056	303774	0.8875438503271563	0.9298332739321237
198	0.5	4078946	534454	250371	0.884151818615338	0.9421684759974841
199	0.5	4048124	481238	281193	0.8937514819968022	0.9350491082080614
200	0.5	3963204	398020	366113	0.9087366299002299	0.9154340049481247
201	0.5	4017692	411434	311625	0.907107180965274	0.9280198239121783
202	0.5	3973861	399874	355456	0.9085737933368162	0.917895594154921
203	0.5	4067719	538304	261598	0.8831304142423952	0.93957522630013
204	0.5	3990298	411441	339019	0.9065276246501667	0.9216922669326363
205	0.5	4057444	486887	271873	0.892858376733561	0.9372018727203391
206	0.5	4095639	582558	233678	0.8754738203628449	0.946024280504292
207	0.5	4015053	440898	314264	0.9010541184137797	0.9274102589392276
208	0.5	3990854	425752	338463	0.9036019966462936	0.9218206936567592
209	0.5	4012679	451462	316638	0.8988692337450811	0.9268619045452204
210	0.5	3980197	444266	349120	0.899588718450126	0.9193591044499629
211	0.5	4000133	437687	329184	0.9013734220856187	0.9239639878530493
212	0.5	4056099	482698	273218	0.8936506743967619	0.9368912001592861
213	0.5	4029125	453915	300192	0.8987483939469646	0.9306606561727866
214	0.5	3984862	408488	344455	0.9070212935459274	0.9204366416226856
215	0.5	3975993	394656	353324	0.90970311274138	0.9183880505862703
216	0.5	4051745	503067	277572	0.8895526313709545	0.9358854987980784
217	0.5	4007068	464088	322249	0.8962040241941905	0.9255658571548353
218	0.5	4012421	452957	316896	0.8985624509280066	0.9268023108494943
219	0.5	3977071	441134	352246	0.9001553798431716	0.9186370506017462
220	0.5	4060173	505792	269144	0.8892256072922153	0.9378322261917988
221	0.5	4012189	431061	317128	0.9029852022731109	0.9267487227200041
222	0.5	4057422	510409	271895	0.8882600954369809	0.9371967910873701
223	0.5	4030910	472507	298407	0.8950781151290231	0.9310729613932175
224	0.5	4030975	469174	298342	0.8957425631906855	0.9310879753088074
225	0.5	4028154	453014	301163	0.8989071599190211	0.9304363713722049
226	0.5	4019977	442833	309340	0.9007726073930998	0.9285476207909932
227	0.5	4049531	474607	279786	0.8950944909284376	0.935374101734754
228	0.5	3927730	397206	401587	0.9081591033948248	0.9072401027690973
229	0.5	4011923	420477	317394	0.9051355924555545	0.9266872811577438
230	0.5	4022241	466329	307076	0.8961074462468002	0.9290705670201558
231	0.5	4046860	494772	282457	0.8910585445936615	0.9347571452956668
232	0.5	3984686	404971	344631	0.9077442725023845	0.9203959885589343
233	0.5	4044247	489316	285070	0.8920681150785816	0.934153585888952
234	0.5	4019039	440030	310278	0.901317965700912	0.9283309584398648
235	0.5	4021584	440146	307733	0.9013508213181882	0.9289188109810392
236	0.5	4037178	461592	292139	0.8973959548943378	0.9325207648227192
237	0.5	4009943	447097	319374	0.8996874607362734	0.9262299341905432
238	0.5	4028741	471020	300576	0.8953233293946056	0.9305719585791477
239	0.5	3994631	433547	334686	0.9020935924436642	0.9226931176441919
240	0.5	4005743	417034	323574	0.9057076583332146	0.9252598042601177
241	0.5	4045125	471562	284192	0.8955955991637233	0.9343563892410743
242	0.5	4024518	444019	304799	0.900634368698301	0.9295965160324365
243	0.5	4029870	460796	299447	0.897388048899651	0.9308327387437787
244	0.5	4015950	457697	313367	0.8976904078484511	0.9276174509743684
245	0.5	4017467	443120	311850	0.9006588146358315	0.9279678526659055
246	0.5	3985583	416294	343734	0.90542807079798	0.9206031805940752
247	0.5	4042103	480654	287214	0.8937254422468419	0.9336583576578015
248	0.5	4065876	513866	263441	0.8877958627363725	0.9391495240473267
249	0.5	4029444	455525	299873	0.8984329657573998	0.9307343398508356
250	0.5	4036504	457334	292813	0.898230866355218	0.9323650820672176
251	0.5	4055727	486620	273590	0.8928703597501468	0.9368052743654484
252	0.5	4043827	464530	285490	0.8969624632654424	0.9340565728959095
253	0.5	4043696	472155	285621	0.8954449560005412	0.9340263140814128
254	0.5	4015321	434657	313996	0.9023237867692829	0.9274721624681214
255	0.5	4021239	437959	308078	0.901785253760878	0.9288391217367543
256	0.5	4019637	433194	309680	0.9027149245053315	0.9284690864632921
257	0.5	4031932	452897	297385	0.8990157707239228	0.9313090263429543
258	0.5	4019099	431689	310218	0.9030084110948443	0.9283448174388709
259	0.5	4020981	445567	308336	0.9002435437837005	0.9287795280410281
260	0.5	3973329	376864	355988	0.9133684413542111	0.9177727110304004
261	0.5	4042515	478609	286802	0.8941393777299628	0.9337535227843099
262	0.5	4035801	461553	293516	0.8973723215917626	0.9322027007955297
263	0.5	4031759	458356	297558	0.897918872901919	0.9312690662291535
264	0.5	4016400	445280	312917	0.9001990281687615	0.9277213934669141
265	0.5	4031149	458056	298168	0.8979650071671933	0.931128166405925
266	0.5	4019086	440674	310231	0.9011888532118321	0.9283418146557528
267	0.5	4016929	436578	312388	0.9019698408467753	0.9278435836414843
268	0.5	4030902	453519	298415	0.8988678806026463	0.9310711135266833
269	0.5	4018132	443122	311185	0.9006732187855702	0.9281214565715562
270	0.5	4006407	421606	322910	0.9047866390636161	0.9254131771824516
271	0.5	4047927	473199	281390	0.8953360291219489	0.9350036044946581
272	0.5	4025549	449752	303768	0.8995035194280787	0.9298346598320243
273	0.5	4017126	433154	312191	0.9026681467233523	0.9278890873548876
274	0.5	4026319	443816	302998	0.9007153027816833	0.9300125169859357
275	0.5	4029373	452680	299944	0.8990016405428495	0.930717940035345
276	0.5	4014768	435589	314549	0.9021226836408854	0.9273444286939487
277	0.5	4027975	449810	301342	0.899546315868225	0.9303950253585034
278	0.5	4028808	454261	300509	0.8986718696500099	0.9305874344613712
279	0.5	4019326	428751	309991	0.9036098071144002	0.9283972506517771
280	0.5	4017627	431197	311690	0.9030761837285539	0.9280048099965884
281	0.5	4029542	449640	299775	0.8996155994554362	0.9307569762158788
282	0.5	4019656	438287	309661	0.9016840278128275	0.9284734751463106
283	0.5	4031075	462387	298242	0.8970978279108625	0.9311110736404842
284	0.5	4014993	427757	314324	0.9037179674750999	0.9273963999402215
285	0.5	4022998	442470	306319	0.9009129614186016	0.9292454213909492
286	0.5	4025102	441626	304215	0.9011298650824496	0.9297314102894291
287	0.5	4025835	451405	303482	0.8991778417060511	0.9299007210606199
288	0.5	4019900	438749	309417	0.9015959767185082	0.9285298350756019
289	0.5	4019253	433333	310064	0.9026783536578519	0.9283803888696531
290	0.5	4021244	435557	308073	0.9022713825454626	0.9288402766533381
291	0.5	4031149	459555	298168	0.8976652658469585	0.931128166405925
292	0.5	4020103	439231	309214	0.9015030047087749	0.9285767246889058
293	0.5	4034083	460841	295234	0.8974752409606925	0.9318058714573223
294	0.5	4008645	421316	320672	0.9048939708498562	0.9259301178453784
295	0.5	4026918	449212	302399	0.8996427717693632	0.9301508759926796
296	0.5	4034244	466848	295073	0.8962811691029643	0.9318430597713219
297	0.5	4030055	457279	299262	0.8980956175760485	0.9308754706573809
298	0.5	4017645	440463	311672	0.9011995671706473	0.9280089676962902
299	0.5	4019560	446095	309757	0.9001053596840777	0.9284513007479008
300	0.5	4020478	447850	308839	0.8997723533276877	0.9286633434326939
